# fuzzlab expected results (Benchmark-style) for category 4's Twitch-clone
# app (go_net_http). Derived from labels.json; the loader cross-checks the
# two so they cannot drift. category is the vuln class; expected_vulnerable
# is the ground-truth verdict for that (url, param) case. CC-LAB-0170/
# FR-LAB-76, CC-LAB-0172/FR-LAB-78 (cells), CC-LAB-0174/FR-LAB-80 (this
# ground truth).
case_id,url,method,param,location,category,expected_vulnerable,primary_endpoint,primary_role,related_endpoints,flow_variant
TWCH-0001,/generated/labgen-go-0001,POST,X-Signature-256,header,webhook_signature,true,/generated/labgen-go-0001,sink,,direct
TWCH-0002,/generated/labgen-go-0003,GET,url,query,ssrf,true,/generated/labgen-go-0003,sink,,direct
TWCH-0003,/generated/labgen-go-0005,GET,channel_id,query,access_control,true,/generated/labgen-go-0005,sink,,direct
TWCH-0004,/generated/labgen-go-0007,GET,Authorization,header,jwt_algorithm_confusion,true,/generated/labgen-go-0007,sink,,direct
TWCH-0005,/generated/labgen-go-0009,POST,body,body,weak_token_entropy,true,/generated/labgen-go-0009,sink,,direct
TWCH-0006,/generated/labgen-go-0011,POST,body,body,mass_assignment,true,/generated/labgen-go-0011,sink,,direct
TWCH-0007,/generated/labgen-go-0013,GET,channel_id,query,access_control,true,/generated/labgen-go-0013,sink,,direct
TWCH-0008,/generated/labgen-go-0015,GET,source_url,query,ssrf,true,/generated/labgen-go-0015,sink,,direct
TWCH-0009,/generated/labgen-go-0017,POST,file,body,unrestricted_file_upload,true,/generated/labgen-go-0017,sink,,direct
TWCH-0010,/generated/labgen-go-0019,POST,body,body,price_integrity_bypass,true,/generated/labgen-go-0019,sink,,direct
TWCH-0011,/generated/labgen-go-0021,GET,filename,query,path_traversal,true,/generated/labgen-go-0021,sink,,direct
TWCH-0012,/generated/labgen-go-0023,POST,body,body,ssti,true,/generated/labgen-go-0023,sink,,direct
TWCH-0013,/generated/labgen-go-0025,GET,destination,query,http_header_injection,true,/generated/labgen-go-0025,sink,,direct
